Description,ICD Code
Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident,V86.05
"Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, initial encounter",V86.05XA
"Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, subsequent encounter",V86.05XD
"Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, sequela",V86.05XS
Driver of dirt bike or motor/cross bike injured in traffic accident,V86.06
"Driver of dirt bike or motor/cross bike injured in traffic accident, initial encounter",V86.06XA
"Driver of dirt bike or motor/cross bike injured in traffic accident, subsequent encounter",V86.06XD
"Driver of dirt bike or motor/cross bike injured in traffic accident, sequela",V86.06XS
Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident,V86.15
"Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, initial encounter",V86.15XA
"Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, subsequent encounter",V86.15XD
"Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, sequela",V86.15XS
Passenger of dirt bike or motor/cross bike injured in traffic accident,V86.16
"Passenger of dirt bike or motor/cross bike injured in traffic accident, initial encounter",V86.16XA
"Passenger of dirt bike or motor/cross bike injured in traffic accident, subsequent encounter",V86.16XD
"Passenger of dirt bike or motor/cross bike injured in traffic accident, sequela",V86.16XS
Person on outside of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident,V86.25
"Person on outside of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, initial encounter",V86.25XA
"Person on outside of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, subsequent encounter",V86.25XD
"Person on outside of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, sequela",V86.25XS
Person on outside of dirt bike or motor/cross bike injured in traffic accident,V86.26
"Person on outside of dirt bike or motor/cross bike injured in traffic accident, initial encounter",V86.26XA
"Person on outside of dirt bike or motor/cross bike injured in traffic accident, subsequent encounter",V86.26XD
"Person on outside of dirt bike or motor/cross bike injured in traffic accident, sequela",V86.26XS
Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident,V86.35
"Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, initial encounter",V86.35XA
"Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, subsequent encounter",V86.35XD
"Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in traffic accident, sequela",V86.35XS
Unspecified occupant of dirt bike or motor/cross bike injured in traffic accident,V86.36
"Unspecified occupant of dirt bike or motor/cross bike injured in traffic accident, initial encounter",V86.36XA
"Unspecified occupant of dirt bike or motor/cross bike injured in traffic accident, subsequent encounter",V86.36XD
"Unspecified occupant of dirt bike or motor/cross bike injured in traffic accident, sequela",V86.36XS
Person injured while boarding or alighting from a 3- or 4- wheeled all-terrain vehicle (ATV),V86.45
"Person injured while boarding or alighting from a 3- or 4- wheeled all-terrain vehicle (ATV), initial encounter",V86.45XA
"Person injured while boarding or alighting from a 3- or 4- wheeled all-terrain vehicle (ATV), subsequent encounter",V86.45XD
"Person injured while boarding or alighting from a 3- or 4- wheeled all-terrain vehicle (ATV), sequela",V86.45XS
Person injured while boarding or alighting from a dirt bike or motor/cross bike,V86.46
"Person injured while boarding or alighting from a dirt bike or motor/cross bike, initial encounter",V86.46XA
"Person injured while boarding or alighting from a dirt bike or motor/cross bike, subsequent encounter",V86.46XD
"Person injured while boarding or alighting from a dirt bike or motor/cross bike, sequela",V86.46XS
Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident,V86.55
"Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, initial encounter",V86.55XA
"Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, subsequent encounter",V86.55XD
"Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, sequela",V86.55XS
Driver of dirt bike or motor/cross bike injured in nontraffic accident,V86.56
"Driver of dirt bike or motor/cross bike injured in nontraffic accident, initial encounter",V86.56XA
"Driver of dirt bike or motor/cross bike injured in nontraffic accident, subsequent encounter",V86.56XD
"Driver of dirt bike or motor/cross bike injured in nontraffic accident, sequela",V86.56XS
Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident,V86.65
"Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, initial encounter",V86.65XA
"Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, subsequent encounter",V86.65XD
"Passenger of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, sequela",V86.65XS
Passenger of dirt bike or motor/cross bike injured in nontraffic accident,V86.66
"Passenger of dirt bike or motor/cross bike injured in nontraffic accident, initial encounter",V86.66XA
"Passenger of dirt bike or motor/cross bike injured in nontraffic accident, subsequent encounter",V86.66XD
"Passenger of dirt bike or motor/cross bike injured in nontraffic accident, sequela",V86.66XS
Person on outside of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident,V86.75
"Person on outside of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, initial encounter",V86.75XA
"Person on outside of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, subsequent encounter",V86.75XD
"Person on outside of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, sequela",V86.75XS
Person on outside of dirt bike or motor/cross bike injured in nontraffic accident,V86.76
"Person on outside of dirt bike or motor/cross bike injured in nontraffic accident, initial encounter",V86.76XA
"Person on outside of dirt bike or motor/cross bike injured in nontraffic accident, subsequent encounter",V86.76XD
"Person on outside of dirt bike or motor/cross bike injured in nontraffic accident, sequela",V86.76XS
Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident,V86.95
"Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, initial encounter",V86.95XA
"Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, subsequent encounter",V86.95XD
"Unspecified occupant of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, sequela",V86.95XS
Unspecified occupant of dirt bike or motor/cross bike injured in nontraffic accident,V86.96
"Unspecified occupant of dirt bike or motor/cross bike injured in nontraffic accident, initial encounter",V86.96XA
"Unspecified occupant of dirt bike or motor/cross bike injured in nontraffic accident, subsequent encounter",V86.96XD
"Unspecified occupant of dirt bike or motor/cross bike injured in nontraffic accident, sequela",V86.96XS
Encounter for antenatal screening of mother,Z36
Encounter for antenatal screening for chromosomal anomalies,Z36.0
Encounter for antenatal screening for raised alphafetoprotein level,Z36.1
Encounter for other antenatal screening follow-up,Z36.2
Encounter for antenatal screening for malformations,Z36.3
Encounter for antenatal screening for fetal growth retardation,Z36.4
Encounter for antenatal screening for isoimmunization,Z36.5
Encounter for other antenatal screening,Z36.8
Encounter for antenatal screening for hydrops fetalis,Z36.81
Encounter for antenatal screening for nuchal translucency,Z36.82
Encounter for fetal screening for congenital cardiac abnormalities,Z36.83
Encounter for antenatal screening for fetal lung maturity,Z36.84
Encounter for antenatal screening for Streptococcus B,Z36.85
Encounter for antenatal screening for cervical length,Z36.86
Encounter for antenatal screening for uncertain dates,Z36.87
Encounter for antenatal screening for fetal macrosomia,Z36.88
Encounter for other specified antenatal screening,Z36.89
Encounter for antenatal screening for other genetic defects,Z36.8A
"Encounter for antenatal screening, unspecified",Z36.9
Encounter for prophylactic removal of fallopian tube(s ),Z40.03
Exercise counseling,Z71.82
Encounter for nonprocreative genetic counseling,Z71.83
Oral health risk factors,Z91.84
"Risk for dental caries, low",Z91.841
"Risk for dental caries, moderate",Z91.842
"Risk for dental caries, high",Z91.843
Unspecified risk for dental caries,Z91.849
Zika virus disease,A92.5
Gastrointestinal stromal tumor,C49.A
"Gastrointestinal stromal tumor, unspecified site",C49.A0
Gastrointestinal stromal tumor of esophagus,C49.A1
Gastrointestinal stromal tumor of stomach,C49.A2
Gastrointestinal stromal tumor of small intestine,C49.A3
Gastrointestinal stromal tumor of large intestine,C49.A4
Gastrointestinal stromal tumor of rectum,C49.A5
Gastrointestinal stromal tumor of other sites,C49.A9
Castleman disease,D47.Z2
Neoplasm of unspecified behavior of other genitourinary organs,D49.5
Neoplasm of unspecified behavior of kidney,D49.51
Neoplasm of unspecified behavior of right kidney,D49.511
Neoplasm of unspecified behavior of left kidney,D49.512
Neoplasm of unspecified behavior of unspecified kidney,D49.519
Neoplasm of unspecified behavior of other genitourinary organ,D49.59
Postprocedural hematoma and seroma of the spleen following a procedure,D78.3
Postprocedural hematoma of the spleen following a procedure on the spleen,D78.31
Postprocedural hematoma of the spleen following other procedure,D78.32
Postprocedural seroma of the spleen following a procedure on the spleen,D78.33
Postprocedural seroma of the spleen following other procedure,D78.34
Mast cell activation syndrome and related disorders,D89.4
"Mast cell activation, unspecified",D89.40
Monoclonal mast cell activation syndrome,D89.41
Idiopathic mast cell activation syndrome,D89.42
Secondary mast cell activation,D89.43
Other mast cell activation disorder,D89.49
Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema,E08.321
"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye",E08.3211
"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",E08.3212
"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral",E08.3213
"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",E08.3219
